Step,x-coordinate,y-coordinate,Actions
1, 15, 20, LF
2, 14, 20, RRF
3, 15, 20, LF
4, 15, 21, F
5, 15, 22, RF
6, 16, 22, LF
7, 16, 23, LF
8, 15, 23, RRF
9, 16, 23, LF
10, 16, 24, F
11, 16, 25, LF
12, 15, 25, F
13, 14, 25, RF
14, 14, 26, LF
15, 13, 26, RRF
16, 14, 26, LF
17, 14, 27, LF
18, 13, 27, RF
19, 13, 28, RRF
20, 13, 27, LF
21, 14, 27, LF
22, 14, 28, RF
23, 15, 28, F
24, 16, 28, RRF
25, 15, 28, LF
26, 15, 27, RRF
27, 15, 28, LF
28, 14, 28, LF
29, 14, 27, F
30, 14, 26, LF
31, 15, 26, RRF
32, 14, 26, LF
33, 14, 25, LF
34, 15, 25, F
35, 16, 25, F
36, 17, 25, LF
37, 17, 26, F
38, 17, 27, LF
39, 16, 27, LF
40, 16, 26, RRF
41, 16, 27, RF
42, 17, 27, LF
43, 17, 28, F
44, 17, 29, RF
45, 18, 29, RRF
46, 17, 29, LF
47, 17, 28, LF
48, 18, 28, RF
49, 18, 27, RRF
50, 18, 28, LF
51, 17, 28, LF
52, 17, 27, F
53, 17, 26, F
54, 17, 25, F
55, 17, 24, LF
56, 18, 24, LF
57, 18, 25, F
58, 18, 26, RRF
59, 18, 25, F
60, 18, 24, LF
61, 19, 24, RF
62, 19, 23, LF
63, 20, 23, LF
64, 20, 24, F
65, 20, 25, LF
66, 19, 25, RF
67, 19, 26, RF
68, 20, 26, F
69, 21, 26, F
70, 22, 26, LF
71, 22, 27, LF
72, 21, 27, RF
73, 21, 28, LF
74, 20, 28, LF
75, 20, 27, RRF
76, 20, 28, LF
77, 19, 28, LF
78, 19, 27, RRF
79, 19, 28, RF
80, 20, 28, F
81, 21, 28, LF
82, 21, 29, LF
83, 20, 29, F
84, 19, 29, RF
85, 19, 30, F
86, 19, 31, RRF
87, 19, 30, F
88, 19, 29, LF
89, 20, 29, F
90, 21, 29, F
91, 22, 29, RRF
92, 21, 29, LF
93, 21, 28, F
94, 21, 27, LF
95, 22, 27, F
96, 23, 27, LF
97, 23, 28, LF
98, 22, 28, RRF
99, 23, 28, LF
100, 23, 29, RF
101, 24, 29, LF
102, 24, 30, F
103, 24, 31, LF
104, 23, 31, LF
105, 23, 30, RF
106, 22, 30, RRF
107, 23, 30, LF
108, 23, 31, LF
109, 22, 31, F
110, 21, 31, RRF
111, 22, 31, F
112, 23, 31, LF
113, 23, 32, F
114, 23, 33, LF
115, 22, 33, LF
116, 22, 32, RRF
117, 22, 33, LF
118, 21, 33, LF
119, 21, 32, RRF
120, 21, 33, LF
121, 20, 33, LF
122, 20, 32, F
123, 20, 31, F
124, 20, 30, LF
125, 21, 30, RRF
126, 20, 30, RF
127, 20, 31, F
128, 20, 32, LF
129, 19, 32, RF
130, 19, 33, LF
131, 18, 33, LF
132, 18, 32, F
133, 18, 31, F
134, 18, 30, RF
135, 17, 30, RRF
136, 18, 30, LF
137, 18, 31, F
138, 18, 32, LF
139, 17, 32, LF
140, 17, 31, RRF
141, 17, 32, RF
142, 18, 32, LF
143, 18, 33, RF
144, 19, 33, LF
145, 19, 34, RRF
146, 19, 33, F
147, 19, 32, LF
148, 20, 32, LF
149, 20, 33, F
150, 20, 34, F
151, 20, 35, RF
152, 21, 35, F
153, 22, 35, LF
